participant,position,condition,level,fa_main_raw,fa_main_adjusted,rt_correct_key_s_raw,rt_correct_key_s_adjusted
P03,1,B,beta,1.0,1.0203703703703701,1.0973156849543253,0.9617227129704801
P03,2,C,gamma,1.0,0.9870370370370369,1.0092193921407064,0.987739168470999
P03,5,C,beta,0.9333333333333333,0.9314814814814814,0.8755234274370917,0.9907499477933343
P03,6,B,beta,0.9333333333333333,0.9537037037037036,0.9597998651964911,0.8242068932126458
P03,9,B,alpha,1.0,0.998148148148148,0.8704930464426677,0.8680320295033022
P03,10,B,beta,0.9333333333333333,0.9537037037037036,0.9300254265467326,0.7944324545628874
P03,11,B,alpha,1.0,0.998148148148148,0.8859164794286092,0.8834554624892437
P03,12,C,gamma,0.9666666666666667,0.9537037037037036,0.8098181033956593,0.7883378797259518
P03,13,C,alpha,1.0,0.9870370370370369,0.7152598857879638,0.8949201117225685
P03,15,B,gamma,1.0,1.009259259259259,0.998242727915446,0.8628901942175161
P03,16,C,beta,1.0,0.998148148148148,0.6672248919804891,0.7824514123367317
P03,18,B,gamma,0.9333333333333333,0.9425925925925925,0.9703583399454753,0.8350058062475454
P03,19,C,beta,1.0,0.998148148148148,0.6919341802597045,0.8071607006159471
P03,20,C,gamma,1.0,0.9870370370370369,0.8257652362187703,0.8042850125490628
P03,21,B,alpha,0.9333333333333333,0.9314814814814814,0.8313355856928332,0.8288745687534677
P03,22,C,alpha,0.9666666666666667,0.9537037037037036,0.6152512550354003,0.794911480970005
P03,25,C,alpha,1.0,0.9870370370370369,0.7108702421188354,0.89053046805344
P03,26,B,gamma,0.9666666666666667,0.9759259259259259,1.0178185939788817,0.8824660602809519
