participant,trial_index,condition,condition_label,level,level_symbol,sequence,quiz_name,guidance_type,note_count,analyzed,sync_method,sync_offset_s,key_accuracy,hits,misses,fa_main,fa_given_key,key_acc_given_finger,mean_rt_s,rt_correct_key_s,rt_complete_s,median_rt_s,sd_rt_s,min_rt_s,max_rt_s,p95_rt_s,rt_slope_s_per_event,first_half_fa,first_half_rt_s,second_half_fa,second_half_rt_s,timeout_rate,wrong_key,key_ok_wrong_finger,wrong_key_mean_semitones,wrong_key_below,wrong_key_above,unresolved_rate,ambiguous_rate,mean_target_prob,mean_top_margin,borderline_events,manual_corrections,suspected_carryover,excluded_carryover,qc_extra_presses,qc_double_hits,qc_inter_trial_presses,same_hand_n,same_hand_fa,same_hand_rt_s,hand_switch_n,hand_switch_fa,hand_switch_rt_s,fa_L1,te_L1_s,n_L1,fa_L2,te_L2_s,n_L2,fa_L3,te_L3_s,n_L3,fa_L4,te_L4_s,n_L4,fa_L5,te_L5_s,n_L5,fa_R1,te_R1_s,n_R1,fa_R2,te_R2_s,n_R2,fa_R3,te_R3_s,n_R3,fa_R4,te_R4_s,n_R4,fa_R5,te_R5_s,n_R5,fa_theta_0.30,fa_theta_0.35,fa_theta_0.45,fa_theta_0.50
P03,1,B,Visual finger-cue guidance,beta,β,1799551287-β-8,P03-T01-Bβ,visual,30,True,auto,0.06040658950805666,1.0,30,0,1.0,1.0,1.0,1.0973156849543253,1.0973156849543253,1.0973156849543253,0.9384278059005737,0.5461090248530563,0.6800010204315186,3.272846221923828,2.394965887069702,-0.03160468956519817,1.0,1.2839171568552652,1.0,0.9107142130533854,0.0,0,0,,0,0,0.0,0.0,0.7610796287775947,0.5802437639926744,0,0,0,0,1,1,0,15,1.0,0.9852698644002279,14,1.0,1.0619697400501795,1.0,0.8514344692230225,2,1.0,0.9276473522186279,6,1.0,1.342782163619995,5,1.0,1.0233197212219238,1,1.0,1.3841949701309204,2,,,0,1.0,0.8533233404159546,6,1.0,1.6443143685658772,3,1.0,1.0184427738189696,5,,,0,1.0,1.0,1.0,1.0
P03,2,C,Vibrotactile finger guidance,gamma,γ,1799551287-γ-5,P03-T02-Cγ,haptic,30,True,auto,0.058561674753824844,1.0,30,0,1.0,1.0,1.0,1.0092193921407064,1.0092193921407064,1.0092193921407064,0.8895254135131836,0.6160720459312458,0.5368402004241943,4.000766754150391,1.7778239250183105,-0.016902756717499426,1.0,1.0931445280710856,1.0,0.9252942562103271,0.0,0,0,,0,0,0.0,0.0,0.7924288651100813,0.6364207816353753,0,0,0,0,1,1,0,12,1.0,0.9739975333213806,17,1.0,0.8581085064831901,1.0,1.71335768699646,4,1.0,1.2062748670578003,2,1.0,1.0623994668324788,3,1.0,1.0685298442840576,2,1.0,0.9038490454355875,3,1.0,0.7807588100433349,5,1.0,0.663039763768514,3,1.0,0.8231179714202881,2,1.0,0.9252445697784424,3,1.0,0.8866376876831055,3,1.0,1.0,1.0,1.0
P03,3,A,Key-only practice,alpha,α,1799551287-α-9,P03-T03-Aα,key-only,30,True,auto,0.05793299674987795,0.9333333333333333,28,0,0.13333333333333333,0.14285714285714285,0.8,0.39457751909891764,0.4008803112166269,0.45603322982788086,0.40001392364501953,0.07682958796949145,0.27967381477355957,0.5537509918212891,0.528404951095581,-0.0036009127624308033,0.13333333333333333,0.41293880144755046,0.13333333333333333,0.3762162367502848,0.0,2,24,1.5,0,2,0.0,0.06666666666666667,0.15748713356518196,0.5619050871491171,0,0,0,0,2,2,0,19,0.10526315789473684,0.3735985379470022,10,0.2,0.42674472332000735,0.0,0.4562753041585286,3,0.5,0.41610974073410034,4,0.0,0.4045197168986003,3,0.0,0.36676621437072754,6,0.0,0.46378278732299805,1,0.0,0.3441774845123291,4,0.0,0.3578508694966634,3,0.5,0.4127100706100464,2,0.5,0.42118000984191895,2,0.0,0.4040393829345703,2,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
P03,4,A,Key-only practice,gamma,γ,1799551287-γ-8,P03-T04-Aγ,key-only,30,True,auto,0.05811467170715334,0.9666666666666667,29,0,0.2,0.20689655172413793,0.8571428571428571,0.571178388595581,0.5714335688229265,0.4897308349609375,0.521523118019104,0.313034741040769,0.3185598850250244,2.034189224243164,0.8707602024078369,-0.014044891289529599,0.2,0.6620676040649414,0.2,0.4802891731262207,0.0,1,23,2,0,1,0.0,0.0,0.22992255336980036,0.6267920017206189,0,0,0,0,3,3,0,14,0.21428571428571427,0.5204752513340541,15,0.2,0.5209672609965007,0.0,0.47234169642130536,3,0.0,0.47211694717407227,4,0.6666666666666666,0.36575667063395184,3,0.3333333333333333,0.5222000281016032,3,0.3333333333333333,0.6669414043426514,3,0.0,0.6299090385437012,1,0.25,0.48937320709228516,4,0.0,0.5935245752334595,2,0.0,0.9621047973632812,3,0.25,0.6260997653007507,4,0.23333333333333334,0.2,0.2,0.2
P03,5,C,Vibrotactile finger guidance,beta,β,1799551287-β-5,P03-T05-Cβ,haptic,30,True,auto,0.06031789779663088,0.9666666666666667,29,0,0.9333333333333333,0.9655172413793104,0.9655172413793104,0.8693083763122559,0.8755234274370917,0.8909274765423366,0.785724401473999,0.275419052555556,0.40316295623779297,1.5097260475158691,1.340062141418457,0.00642625736580277,0.8666666666666667,0.8069884936014812,1.0,0.9316282590230306,0.0,1,1,1,1,0,0.0,0.0,0.7248096971816851,0.5613495748827853,0,0,0,0,2,2,0,16,1.0,0.924268901348114,13,0.8461538461538461,0.8324064474839431,1.0,0.803534984588623,3,1.0,0.8234884738922119,3,1.0,0.9445258617401123,5,0.5,0.6084909439086914,2,1.0,1.0923554102579753,3,0.5,0.8584189414978027,2,1.0,0.589694619178772,2,1.0,0.7938284873962402,5,1.0,0.8634010553359985,2,1.0,1.1297772725423176,3,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
P03,6,B,Visual finger-cue guidance,beta,β,1799551287-β-4,P03-T06-Bβ,visual,30,True,auto,0.05843200683593752,0.9666666666666667,29,0,0.9333333333333333,0.9655172413793104,0.9655172413793104,0.9421729644139608,0.9597998651964911,0.9646574940000262,0.9132300615310669,0.20805504119919838,0.43099284172058105,1.4598228931427002,1.391230821609497,0.0002456569035140757,1.0,0.943642505009969,0.8666666666666667,0.9407034238179525,0.0,1,1,2,0,1,0.0,0.0,0.739645421922384,0.5744701133559151,0,0,0,0,0,0,0,17,0.8823529411764706,0.9042957249809714,12,1.0,0.958410898844401,1.0,0.9329143762588501,2,1.0,0.6658170223236084,1,0.75,1.0765066146850586,4,1.0,0.8969676494598389,2,1.0,1.0209421157836913,5,1.0,0.7298827171325684,1,1.0,0.827831506729126,2,1.0,0.8661465048789978,4,1.0,1.0583285093307495,4,0.8,0.8890850067138671,5,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
P03,7,A,Key-only practice,beta,β,1799551287-β-2,P03-T07-Aβ,key-only,30,True,auto,0.05720295906066897,1.0,30,0,0.06666666666666667,0.06666666666666667,1.0,0.4440043290456136,0.4440043290456136,0.3364161252975464,0.4172239303588867,0.09968885843658654,0.29820799827575684,0.7338769435882568,0.6047906875610352,-0.0023931150043899146,0.06666666666666667,0.4531290849049886,0.06666666666666667,0.4348795731862386,0.0,0,28,,0,0,0.0,0.0,0.08957804960732044,0.8040808326195189,0,0,0,0,1,1,0,16,0.0625,0.42903897166252136,13,0.07692307692307693,0.45613833574148327,0.0,0.5257079601287842,1,0.6666666666666666,0.37096373240152997,3,0.0,0.4647865295410156,2,0.0,0.47717132568359377,5,0.0,0.4074944655100505,3,0.0,0.42386531829833984,4,0.0,0.46574997901916504,2,0.0,0.44476552804311115,6,0.0,0.5095013380050659,2,0.0,0.41453027725219727,2,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
P03,8,A,Key-only practice,alpha,α,1799551287-α-2,P03-T08-Aα,key-only,30,True,auto,0.05946197509765627,0.9666666666666667,29,0,0.3,0.3103448275862069,1.0,0.4367763837178548,0.44123570672396956,0.440779447555542,0.42685484886169434,0.09397377865271081,0.29984116554260254,0.7135069370269775,0.6078453063964844,0.001752985147003072,0.26666666666666666,0.41940320332845055,0.3333333333333333,0.4541495641072591,0.0,1,20,2,0,1,0.0,0.06666666666666667,0.2831541322657366,0.6412145975707139,0,0,0,0,0,0,0,20,0.3,0.40974690914154055,9,0.3333333333333333,0.47783422470092773,0.0,0.40271592140197754,4,1.0,0.4749947190284729,4,0.0,0.4035283327102661,2,0.0,0.3663579225540161,2,0.0,0.6078453063964844,1,0.0,0.482377290725708,3,0.6666666666666666,0.4370928605397542,6,0.25,0.4262702465057373,4,0.0,0.4138163725535075,3,0.0,0.42861199378967285,1,0.3333333333333333,0.3,0.3,0.3
P03,9,B,Visual finger-cue guidance,alpha,α,1799551287-α-7,P03-T09-Bα,visual,30,True,manual,0.057513856887817405,1.0,30,0,1.0,1.0,1.0,0.8704930464426677,0.8704930464426677,0.8704930464426677,0.7924314737319946,0.2533978804316162,0.569871187210083,1.5277130603790283,1.4508872032165527,0.0028970221921519783,1.0,0.8344884236653646,1.0,0.9064976692199707,0.0,0,0,,0,0,0.0,0.03333333333333333,0.7258586829037021,0.5210804125287094,0,0,0,0,3,3,0,19,1.0,0.7907916370191073,10,1.0,0.963886308670044,1.0,0.8810229301452637,1,1.0,0.7970803805759975,7,1.0,0.9961837530136108,4,1.0,0.7369239330291748,1,,,0,1.0,0.8344718456268311,5,1.0,0.6296635150909424,5,1.0,0.9513981342315674,1,1.0,1.0416555404663086,4,1.0,1.246924877166748,2,1.0,1.0,1.0,0.9666666666666667
P03,10,B,Visual finger-cue guidance,beta,β,1799551287-β-1,P03-T10-Bβ,visual,30,True,auto,0.05807485580444338,1.0,30,0,0.9333333333333333,0.9333333333333333,1.0,0.9300254265467326,0.9300254265467326,0.928882930959974,0.8982760906219482,0.2167308708159756,0.598783016204834,1.5215990543365479,1.3596112728118896,-0.002379318922592351,0.9333333333333333,0.9528963406880696,0.9333333333333333,0.9071545124053955,0.0,0,2,,0,0,0.0,0.0,0.7532074667237876,0.6499176963754618,0,0,0,0,2,2,0,16,0.9375,0.9935879558324814,13,0.9230769230769231,0.8737826530749981,1.0,0.856865406036377,3,1.0,0.9761395454406738,2,1.0,1.02376070022583,5,0.5,1.03488290309906,2,1.0,1.242404580116272,2,1.0,0.7591274579366049,3,1.0,0.6280792554219564,3,1.0,1.0487748781840007,3,1.0,0.9204163551330566,3,0.75,0.9088287949562073,4,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
